id,filename,url,points
#########
# germany big cities up to 20k inhabitants
#########
Velbert,,https://data.whosonfirst.org/101/748/673/101748673.geojson
Minden,,https://data.whosonfirst.org/101/748/811/101748811.geojson
Dessau-Roßlau,dessau-rosslau.json,https://data.whosonfirst.org/101/748/765/101748765.geojson
Neumünster,neumuenster.json,https://data.whosonfirst.org/117/561/138/1/1175611381.geojson
Norderstedt,,https://data.whosonfirst.org/101/748/857/101748857.geojson
Delmenhorst,,https://data.whosonfirst.org/101/748/831/101748831.geojson
Bamberg,,https://data.whosonfirst.org/101/748/561/101748561.geojson
Viersen,,https://data.whosonfirst.org/101/748/689/101748689.geojson
Marburg,,https://data.whosonfirst.org/101/748/615/101748615.geojson
Wilhelmshaven,,https://data.whosonfirst.org/101/748/847/101748847.geojson
Rheine,,https://data.whosonfirst.org/101/748/805/101748805.geojson
Lüneburg,lueneburg.json,https://data.whosonfirst.org/101/748/837/101748837.geojson
Gladbeck,,https://data.whosonfirst.org/101/748/747/101748747.geojson
Celle,,https://data.whosonfirst.org/101/748/827/101748827.geojson
Lüdenscheid,luedenscheid.json,https://data.whosonfirst.org/101/748/693/101748693.geojson
Brandenburg an der Havel,brandenburg_an_der_havel.json,https://data.whosonfirst.org/101/748/813/101748813.geojson
Castrop-Rauxel,,https://data.whosonfirst.org/101/748/745/101748745.geojson
Dorsten,,https://data.whosonfirst.org/101/748/741/101748741.geojson
Aschaffenburg,,https://data.whosonfirst.org/101/748/567/101748567.geojson
Bocholt,,https://data.whosonfirst.org/101/748/787/101748787.geojson
Landshut,,https://data.whosonfirst.org/101/748/491/101748491.geojson
Arnsberg,,https://data.whosonfirst.org/101/748/703/101748703.geojson
Detmold,,https://data.whosonfirst.org/101/748/777/101748777.geojson
Bayreuth,,https://data.whosonfirst.org/101/748/565/101748565.geojson
Troisdorf,,https://data.whosonfirst.org/101/748/607/101748607.geojson
Fulda,,https://data.whosonfirst.org/101/748/593/101748593.geojson
Dinslaken,,https://data.whosonfirst.org/101/748/757/101748757.geojson
Lippstadt,,https://data.whosonfirst.org/101/748/729/101748729.geojson
Aalen,,https://data.whosonfirst.org/101/748/515/101748515.geojson
Herford,,https://data.whosonfirst.org/101/907/701/101907701.geojson,52.114054|8.662599
Kerpen,,https://data.whosonfirst.org/101/748/635/101748635.geojson
